country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,756000,796000,839000,884000,933000,984000,1040000,1100000,1160000,1220000,1300000,1370000,1450000,1540000,1630000,1720000,1810000,1900000,1980000,2050000,2120000,2160000,2190000,2200000,2210000,2240000,2280000,2340000,2420000,2480000,2590000,2760000,2990000,3240000,3480000,3700000,3870000,4010000,4130000,4270000,4440000,4650000,4890000,5160000,5430000,5690000,5930000,6150000,6360000,6590000,6840000,7110000,7420000,7730000,8050000,8370000,8670000,8970000
Albania,494000,514000,531000,548000,565000,582000,599000,617000,636000,657000,678000,699000,721000,742000,764000,787000,809000,832000,855000,877000,902000,928000,955000,983000,1010000,1040000,1070000,1100000,1130000,1170000,1200000,1200000,1210000,1220000,1230000,1240000,1250000,1260000,1270000,1280000,1290000,1300000,1330000,1350000,1380000,1410000,1430000,1450000,1470000,1500000,1520000,1550000,1580000,1600000,1630000,1650000,1680000,1710000
Algeria,3390000,3630000,3880000,4150000,4440000,4750000,5040000,5210000,5380000,5560000,5750000,5930000,6120000,6320000,6530000,6740000,6960000,7240000,7610000,8000000,8420000,8860000,9320000,9810000,10300000,10800000,11400000,11900000,12400000,13000000,13500000,14000000,14600000,15100000,15700000,16200000,16700000,17200000,17700000,18200000,18700000,19200000,19700000,20200000,20700000,21200000,21800000,22400000,23000000,23700000,24400000,25100000,25900000,26700000,27500000,28200000,29000000,29800000
Andorra,7840,8770,9750,10800,11900,13100,14300,15500,16800,18100,19500,20900,22400,23900,25400,26800,28100,29300,30500,31800,33200,34800,36600,38500,40400,42400,44300,46100,47900,49800,51600,53600,55500,57400,58800,59800,60100,59900,59600,59600,60400,62000,64200,66700,69200,71200,72700,73800,74600,75100,75000,74300,73100,71500,70100,68900,68200,67800
Angola,589000,621000,657000,695000,735000,776000,818000,862000,909000,959000,1010000,1080000,1170000,1260000,1360000,1470000,1590000,1710000,1850000,2000000,2170000,2350000,2550000,2760000,2990000,3220000,3460000,3700000,3950000,4230000,4520000,4840000,5190000,5560000,5950000,6300000,6660000,7020000,7400000,7800000,8230000,8710000,9220000,9770000,10300000,10900000,11500000,12100000,12700000,13300000,14000000,14700000,15400000,16100000,16900000,17700000,18500000,19300000
Antigua and Barbuda,21900,21900,22000,22000,22100,22300,22300,22400,22500,22600,22700,23100,23500,23900,24200,24500,24800,25100,25300,25400,25400,25400,25200,25000,24700,24400,24200,23900,23600,23500,23600,23900,24000,24300,24600,25000,25400,25800,26200,26600,26900,27000,26800,26600,26300,26100,25800,25600,25300,25100,24800,24600,24700,24800,24900,25000,25100,25200
Argentina,15200000,15600000,15900000,16300000,16700000,17000000,17400000,17700000,18100000,18500000,18900000,19300000,19800000,20200000,20700000,21100000,21500000,22000000,22400000,22800000,23300000,23800000,24300000,24800000,25300000,25800000,26400000,26900000,27400000,27900000,28500000,29000000,29500000,29900000,30400000,30900000,31300000,31700000,32200000,32600000,33000000,33500000,33900000,34400000,34800000,35200000,35700000,36100000,36600000,37000000,37500000,37900000,38400000,38800000,39300000,39700000,40200000,40600000
Armenia,961000,1010000,1070000,1120000,1170000,1230000,1290000,1340000,1400000,1450000,1510000,1570000,1630000,1690000,1750000,1800000,1860000,1910000,1960000,2010000,2050000,2090000,2120000,2160000,2200000,2240000,2280000,2330000,2370000,2390000,2390000,2350000,2300000,2240000,2180000,2130000,2080000,2050000,2030000,2010000,1980000,1960000,1950000,1940000,1920000,1910000,1890000,1870000,1850000,1840000,1830000,1820000,1820000,1830000,1830000,1840000,1850000,1850000
Australia,8380000,8590000,8830000,9030000,9250000,9460000,9710000,9850000,10000000,10300000,10500000,10900000,11100000,11300000,11600000,11800000,11900000,12100000,12200000,12400000,12600000,12800000,13000000,13200000,13300000,13500000,13700000,13900000,14100000,14400000,14600000,14800000,14900000,15000000,15200000,15300000,15500000,15700000,15800000,16000000,16100000,16300000,16600000,16800000,17000000,17300000,17500000,17700000,18000000,18500000,18800000,19100000,19400000,19800000,20100000,20400000,20800000,21100000
Austria,4560000,4590000,4620000,4660000,4690000,4730000,4760000,4800000,4830000,4850000,4870000,4900000,4930000,4960000,4960000,4950000,4940000,4950000,4940000,4940000,4940000,4950000,4930000,4900000,4880000,4860000,4850000,4830000,4820000,4820000,4830000,4860000,4890000,4910000,4910000,4900000,4880000,4860000,4850000,4830000,4820000,4820000,4820000,4820000,4830000,4840000,4840000,4830000,4820000,4810000,4800000,4790000,4820000,4860000,4920000,4990000,5060000,5120000
